ID,LAT,LON,Location,state,tz
[FWA],41,85.2,Fort Wayne,IN,-5
[GYY],41.62,87.42,Gary,IN,-5
[GUS],40.65,86.15,Grissom AFB,IN,-5
[IND],39.73,86.27,Indianapolis,IN,-5
[MIE],40.23,85.38,Muncie,IN,-5
[SBN],41.7,86.32,South Bend,IN,-5
[HUF],39.45,87.3,Terre Haute,IN,-5
[LAF],40.42,86.93,W Lafayette,IN,-5
[BRL],40.78,91.12,Burlington,IA,-6
[CID],41.88,91.7,Cedar Rapids,IA,-6
[DSM],41.53,93.65,Des Moines,IA,-6
[DBQ],42.4,90.7,Dubuque,IA,-6
[EST],43.4,94.75,Estherville,IA,-6
[FOD],42.55,94.18,Fort Dodge,IA,-6
[3OI],40.62,93.93,Lamoni,IA,-6
[MCW],43.15,93.33,Mason City,IA,-6
[OTM],41.1,92.45,Ottumwa,IA,-6
[SUX],42.4,96.38,Sioux City,IA,-6
[3SE],43.17,95.15,Spencer,IA,-6
[ALO],42.55,92.4,Waterloo Mun,IA,-6
[CNU],37.67,95.48,Chanute,KS,-6
[3KM],37.75,97.22,Col. J Jabar,KS,-6
[CNK],39.55,97.65,Concordia,KS,-6
[DDC],37.77,99.97,Dodge City,KS,-6
[1K5],37,101.88,Elkhart,KS,-6
[EMP],38.33,96.2,Emporia,KS,-6
[FLV],39.37,94.92,Ft Leavnwrth,KS,-6
[FRI],39.05,96.77,Ft Riley,KS,-6
[GCK],37.93,100.72,Garden City,KS,-6
[GLD],39.37,101.7,Goodland,KS,-6
[HYS],38.85,99.27,Hays,KS,-6
[HLC],39.38,99.83,Hill City,KS,-6
[HUT],38.07,97.87,Hutchinson,KS,-6
[IXD],38.82,94.88,Johnson Cnty,KS,-6
[LBL],37.05,100.97,Liberal,KS,-6
[MHK],39.15,96.67,Manhatten,KS,-6
[IAB],37.62,97.27,Mcconnell Af,KS,-6
[P28],37.3,98.58,Medicine Ldg,KS,-6
[OJC],38.85,94.9,Olathe,KS,-6
[RSL],38.87,98.82,Russell,KS,-6
[SLN],38.8,97.65,Salina,KS,-6
[TOP],39.07,95.62,Topeka,KS,-6
[FOE],38.95,95.67,Topeka/Forbe,KS,-6
[ICT],37.65,97.43,Wichita,KS,-6
[BWG],36.97,86.43,Bowling Gren,KY,-6
[HOP],36.67,87.5,Ft Campbell,KY,-6
[FTK],37.9,85.97,Ft Knox,KY,-6
[JKL],37.6,83.32,Jackson,KY,-6
[LEX],38.05,85,Lexington,KY,-6
[LOZ],37.08,84.07,London,KY,-6
[LOU],38.23,85.67,Louisville,KY,-6
[SDF],38.18,85.73,Louisville,KY,-6
[OWB],37.75,87.17,Owensboro,KY,-6
[PAH],37.07,88.77,Paducah,KY,-6
[5I3],37.48,82.52,Pikeville,KY,-6
[ESF],31.38,92.3,Alexandria,LA,-6
[BAD],32.5,93.67,Barksdale,LA,-6
[BTR],30.53,91.15,Baton Rouge,LA,-6
[BVE],29.55,89.67,Boothville,LA,-6
[7R5],29.78,93.3,Cameron Heli,LA,-6
[01R],31.22,92.95,Claiborne R,LA,-6
[AEX],31.33,92.55,England AFB,LA,-6
[41I],28.47,91.78,Eugene Is.,LA,-6
[POE],31.05,93.2,Fort Polk,LA,-6
[AXO],29.18,90.07,Grand Isle,LA,-6
[5R0],28.22,93.75,High Is,LA,-6
[01T],28.13,94.4,High Island,LA,-6
[HUM],29.57,90.65,Houma,LA,-6
[7R4],29.73,92.12,Intercoastal,LA,-6
[LFT],30.2,92,Lafayette,LA,-6
[LCH],30.12,93.22,Lake Charles,LA,-6
[7R3],29.7,91.1,Lk Palourde,LA,-6
